review_rank,priority_score,dataset_name,validation_status,issue_id,paper_title,assistant_label,assistant_confidence,evidence_source,support_count,support_models,model_snapshot,risk_flags,review_action,evidence_span,review_excerpt,aligned_response_excerpt,revision_summary
11,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,IfZwSRpqHl__r04,Dynamic Rescaling for Training GNNs,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,We thank the reviewers for their encouraging comments and constructive suggestions that we have incorporated to improve the paper. We jointly answer some key common questions of the reviewers here in two parts regarding i) additional insights and ii) limitations. **Further insights and additional experiments:** 1. We discover trends regarding homophily and heterophily in the training dynamics of GATs. *...,"[weaknesses] 1. As preliminary is integrated into the approach, it is hard to parse which part is novel. It would be beneficial to more clearly compare the contributions of this paper and previous papers on training dynamics, especially...",We thank the reviewers for their encouraging comments and constructive suggestions that we have incorporated to improve the paper. We jointly answer some key common questions of the reviewers here in two parts regarding i) additional...,"Thank you for your response. As the reviewer has acknowledged our point-by-point answers to the questions that were put forth as a guideline for us to enhance the readability, and will eventually be included in the revised version of the..."
12,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,JO6T4rEJ32__r02,Binding in hippocampal-entorhinal circuits enables compositionality in cognitive maps,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your thoughtful review. We appreciate your agreement about the rigor and suitability of the mathematical framework. Apologies if responses seem terse, we've tried to give clear explanations within the word count. > To make a better job ... What is it that main thing that it bring to the table? Apart from mathematical elegance. Our work gives a theory of computations (representations and algorithms) in...","[weaknesses] * The task on which the model is tested (inputs, output, goals) was not clearly defined in the paper, from Section 4 we know that it is about path integrations and there are simulated trajectories (generated according to...","Thank you for your thoughtful review. We appreciate your agreement about the rigor and suitability of the mathematical framework. Apologies if responses seem terse, we've tried to give clear explanations within the word count. > To make a...","Thank you very much for your thoughtful review and accurate summary of its main points. We concur that the strengths listed: theory (proofs and experimental validation) for every part of the RNS model, in addition to testable hypotheses..."
13,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,LxxIiInmuF__r02,Paths to Equilibrium in Games,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the exploratory (""lose-shift"") mechanism used by any particular satisficing-based MARL algorithm, but we can say a few things about the connections between this theory and efficiency....","[weaknesses] I have one main complaint, and this is related to my disagreement with the following sentence at the beginning of section 3.2: ``Theorem 1 shows that play will be driven along satisficing paths to an equilibrium"".'' I...","Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the...","Thank you for your engaged reading and review of our paper! Our aim with the original wording at the beginning of Section 3.2 was to contrast approaches based on satisficing with approaches based (for instance) on best responding, where in..."
14,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,LxxIiInmuF__r03,Paths to Equilibrium in Games,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the exploratory (""lose-shift"") mechanism used by any particular satisficing-based MARL algorithm, but we can say a few things about the connections between this theory and efficiency....","[weaknesses] 1. Although this paper provides extensive theoretical results, it lacks empirical validation. Including experimental results or simulations, even a simple example, to demonstrate the practical applicability and performance of...","Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the...","Thank you for your engaged reading and review of our paper! Our aim with the original wording at the beginning of Section 3.2 was to contrast approaches based on satisficing with approaches based (for instance) on best responding, where in..."
15,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,LxxIiInmuF__r04,Paths to Equilibrium in Games,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the exploratory (""lose-shift"") mechanism used by any particular satisficing-based MARL algorithm, but we can say a few things about the connections between this theory and efficiency....","[weaknesses] Remark 1 suggests the algorithm is centralized rather than decentralized and learning-based. Under Case 1 you say ""fix an arbitrary Nash equilibrium $z^*$.'' How does one discover ""z^*?"" Isn't the point of using MARL...","Thank you for your kind words and for your questions. Efficiency and practical performance are important considerations for work on MARL. Our theoretical study here is somewhat orthogonal to efficiency, and we do not take a position on the...","Thank you for your engaged reading and review of our paper! Our aim with the original wording at the beginning of Section 3.2 was to contrast approaches based on satisficing with approaches based (for instance) on best responding, where in..."
16,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,MQIET1VfoV__r02,Boosting Sample Efficiency and Generalization in Multi-agent Reinforcement Learning via Equivariance,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your thorough review. We appreciate the time you took to dive into the details of our work and provide specific advice for improving these results. We tried to take your feedback into account in our updated results. We increased the number of seeds up to 10, and we added a new baseline (see the global rebuttal for those charts) from [20]. We will remove the language regarding ""up to 10x improvement in...",[weaknesses] Clarity * In the abstract the main claims are 10x improvements in sample efficiency and final reward. This is just unnecessarily exaggerated and possibly misleading. I think the paper would benefit from a clear depiction of...,Thank you for your thorough review. We appreciate the time you took to dive into the details of our work and provide specific advice for improving these results. We tried to take your feedback into account in our updated results. We...,"Thanks for responding! 1. Note that our paper was written contemporary to [20]. We had much of our results before they published. However, we did add an empirical comparison with [20] and note that our approach E2GN2 (see the pdf in the..."
17,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,N2RaC7LO6k__r03,Geometry of naturalistic object representations in recurrent neural network models of working memory,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,We thank the reviewer for recognizing the importance of our study. We have carefully considered the reviewer's comments and have provided the following response: * __Typos.__ We sincerely thank the reviewer for carefully listing all of the typos in our original draft. We will fix them and more thoroughly review the revised manuscript to ensure clarity. * __Missing details about model training.__ Thank you for...,"[weaknesses] - Some relevant citations are missing, please see below. - The presentation, for me, was a bit dense. I was not fully able to follow Section 4.3, though I believe I understood the general takeaways. The authors should work...",We thank the reviewer for recognizing the importance of our study. We have carefully considered the reviewer's comments and have provided the following response: * __Typos.__ We sincerely thank the reviewer for carefully listing all of the...,"We understand the reviewer's continuing concern in terms of the clarity of the revised text given that updates to the manuscript are not allowed at this stage. To help the reviewer with their judgement, below we include all of the text..."
18,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,NfOFbPpYII__r03,Non-asymptotic Convergence of Training Transformers for Next-token Prediction,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for the helpful comments, and would like to provide the following responses. **Q1:** How would you change the manuscript to make it more easy to understand your definitions and motivation behind the mathematics? For example, the example dataset provides some additional insights, but does not clarify why these properties are important, how this leads to zero training loss in the limit, etc....","[weaknesses] The paper completely lacks a discussion of how general the obtained insights are; i.e., what the paper contributes beyond the setting of the simple network architecture, custom dataset and custom training method used to derive...","We thank the reviewer for the helpful comments, and would like to provide the following responses. **Q1:** How would you change the manuscript to make it more easy to understand your definitions and motivation behind the mathematics? For...","We thank the reviewer for the helpful comments, and would like to provide the following responses. **Q1:** Some of the mathematical concepts, particularly the query-dependent partial orders, are complex and could be better explained...."
19,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,NfOFbPpYII__r04,Non-asymptotic Convergence of Training Transformers for Next-token Prediction,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for the helpful comments, and would like to provide the following responses. **Q1:** How is the loss function between lines 227 and 228 obtained? Why is its form different from Eq. 1? **A1:** The loss in Eq.\ (1) is for the general-length case. The loss between lines 227 and 228 is for the training stage 1 (i.e., training of feed-forward layer), where the inputs are one-token sentences. We note...","[weaknesses] 1. How is the loss function between lines 227 and 288 obtained? Why is its form different from Eq. 1? 2. In Section 6, the authors theoretically prove the generalization ability of the trained Transformer. Can the...","We thank the reviewer for the helpful comments, and would like to provide the following responses. **Q1:** How is the loss function between lines 227 and 228 obtained? Why is its form different from Eq. 1? **A1:** The loss in Eq.\ (1) is...","We thank the reviewer for the helpful comments, and would like to provide the following responses. **Q1:** Some of the mathematical concepts, particularly the query-dependent partial orders, are complex and could be better explained...."
20,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,UwvjJZWjPT__r01,Inductive biases of multi-task learning and finetuning: multiple regimes of feature reuse,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you very much for your positive feedback and your helpful comments. Below we respond to your questions. > This paper seems somewhat related to the PT + FT setting. Mainly out of curiosity, as I think the settings are a little different, do you see any connections? We agree that this paper is related. This paper (which focuses on classification, though see Evron et al. (2022), which focuses on regression) also...","[weaknesses] A good paper overall. See some questions below. [questions] * This paper seems somewhat related to the PT + FT setting. Mainly out of curiosity, as I think the settings are a little different, do you see any connections?...","Thank you very much for your positive feedback and your helpful comments. Below we respond to your questions. > This paper seems somewhat related to the PT + FT setting. Mainly out of curiosity, as I think the settings are a little...","Thank you very much for your helpful review. Below we respond to your comments and questions. (Due to the character limit on the rebuttal, we focus here on the most important responses and have relegated additional responses to a comment.)..."
21,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,UwvjJZWjPT__r03,Inductive biases of multi-task learning and finetuning: multiple regimes of feature reuse,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Below, we are providing some additional responses that we did not have space for in our rebuttal: > Lines 85-89: I would do a better job of defining “large initialization” vs “small initialization” for the reader without requiring a reference check by the reader. Thank you for pointing this out! We will change ""large/small initialization"" to ""large/small initial weight magnitude"". > Lines 103-111: The notation in...","[weaknesses] I think some of the notation needs to be cleaned-up to have this important work reach as broad an audience as possible. Much is left to the appendix and when it is the references are usually there, but I would make sure they...","Below, we are providing some additional responses that we did not have space for in our rebuttal: > Lines 85-89: I would do a better job of defining “large initialization” vs “small initialization” for the reader without requiring a...","Thank you very much for your helpful review. Below we respond to your comments and questions. (Due to the character limit on the rebuttal, we focus here on the most important responses and have relegated additional responses to a comment.)..."
22,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,YO6GVPUrKN__r01,On the Limitations of Fractal Dimension as a Measure of Generalization,unresolved,low,aligned_response_excerpt,1,modernbert,issue_ledger=fixed; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses they identify. 1. **Discrepancy between our correlation coefficients and those in Dupuis et al. \[2023\]**: We appreciate the reviewer's observation, which prompted us to revise the...","[weaknesses] Lack of theorical results. [questions] No questions. [summary] The paper investigates the effectiveness of using fractal dimensions, particularly the Hausdorff dimension and persistent homology dimension, as measures for...",We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses...,We thank this reviewer for their feedback and are happy to see that they found our conclusions “well-supported” and the text “well-written and organized.” We would like to first address the concern regarding the clarity of the PH dimension...
23,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,axW8xvQPkF__r04,Fairness in Social Influence Maximization via Optimal Transport,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"# W1 Thanks for pointing this out. We made the proposed correction in the manuscript. # W2 Strategy A and Strategy B have the same mutual fairness score since they are equally (un)fair. Namely, they have the same distance from the diagonal. On the other hand, transporting Strategy A onto Strategy B has the highest cost as they are at a maximum (Euclidean) distance apart from each other. In a sense, the two...","[weaknesses] 1. In Definition 2.1, V is the network. Late in section 3.2, V is the set of nodes. 2. Consider two influence strategies, A and B, for a population of two groups, I and II. Strategy A always informs everyone in Group I while...","# W1 Thanks for pointing this out. We made the proposed correction in the manuscript. # W2 Strategy A and Strategy B have the same mutual fairness score since they are equally (un)fair. Namely, they have the same distance from the...","# W1 We agree that the multi-group case requires more detail. We will include a dedicated appendix. With $m$ groups, the outreach distribution is a distribution $\gamma$ on $[0,1]^m$. The reference distribution is again the ``ideal''..."
24,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,cknAewsBhD__r02,EGSST: Event-based Graph Spatiotemporal Sensitive Transformer for Object Detection,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"**W1.** Thank you for your attention to our choice of datasets. We acknowledge that N-CARS [7] is a significant dataset for event classification tasks. However, our research focuses on event-based object detection, which is distinct from event classification. Literature [1,2,3,4] supports our use of the Gen1 and 1Mpx datasets, which are well-established in object detection research, hence their selection for our...","[weaknesses] 1. Insufficient experiment. The Gen1 and 1Mpx datasets used in this paper are not the most widely used datasets for event classification tasks. Even with a focus on driving scenarios, the N-CARS [HATS: Histograms of averaged...","**W1.** Thank you for your attention to our choice of datasets. We acknowledge that N-CARS [7] is a significant dataset for event classification tasks. However, our research focuses on event-based object detection, which is distinct from...","**W1.** We greatly appreciate your evaluation and suggestions regarding our integration of Graph and Transformer technologies. In our integrated framework, there are two key aspects: 1) Interaction Mechanism between SSM and TAC: The..."
